zpid,streetAddress,zipcode,city,state,latitude,longitude,price,datePriceChanged,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,priceReduction,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,priceChange,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,videoCount,unit,newConstructionType
1990362,7438 Upton Ave S,55423,Richfield,MN,44.867706,-93.31537,439000,1.66599E+12,2,4,1932,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,479700,2498,{'is_FSBA': True},"$11,000 (Oct 17)",FALSE,FALSE,FOR_SALE,439000,-11000,TRUE,FALSE,FALSE,USD,USA,339000,10018.8,sqft,,,
1941192,212 66th St E,55423,Richfield,MN,44.883778,-93.27366,275000,,2,3,1675,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,303000,2094,{'is_bankOwned': True},,FALSE,FALSE,FOR_SALE,275000,,TRUE,FALSE,FALSE,USD,USA,224000,0.26,acres,,,
1959164,6844 Upton Ave S,55423,Richfield,MN,44.8783,-93.31533,229900,1.66781E+12,2,3,1591,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,252900,2100,{'is_FSBA': True},"$20,100 (Nov 7)",FALSE,FALSE,FOR_SALE,229900,-20100,TRUE,FALSE,FALSE,USD,USA,262000,5662.8,sqft,,,
1987220,2509 70th St W,55423,Richfield,MN,44.876087,-93.31165,300000,1.66625E+12,1,3,1178,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,300000,1981,{'is_FSBA': True},"$15,000 (Oct 20)",FALSE,FALSE,FOR_SALE,300000,-15000,TRUE,FALSE,FALSE,USD,USA,267000,7840.8,sqft,,,
1934307,6311 15th Ave S,55423,Richfield,MN,44.888435,-93.253815,299900,1.66625E+12,2,3,1177,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,299600,1998,{'is_FSBA': True},"$20,000 (Oct 20)",FALSE,FALSE,FOR_SALE,299900,-20000,TRUE,FALSE,FALSE,USD,USA,212000,8276.4,sqft,1,,
1941734,6801 Pleasant Ave S,55423,Richfield,MN,44.879677,-93.28276,400000,1.66634E+12,2,3,2057,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,399190,1997,{'is_FSBA': True},"$30,000 (Oct 21)",FALSE,FALSE,FOR_SALE,400000,-30000,TRUE,FALSE,FALSE,USD,USA,325000,9147.6,sqft,,,
1950100,6615 Lake Shore Dr S APT 917,55423,Richfield,MN,44.88267,-93.28936,165000,,2,2,1190,CONDO,FOR_SALE,-1,FALSE,FALSE,163300,1625,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,165000,,TRUE,FALSE,FALSE,USD,USA,132000,3.78,acres,,Apt 917,
2009087,7526 Portland Ave S,55423,Richfield,MN,44.86626,-93.26851,389900,,2,3,2414,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,387600,2699,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,389900,,TRUE,FALSE,FALSE,USD,USA,304000,10454.4,sqft,,,
71815377,7600 Lyndale Ave S APT 310,55423,Richfield,MN,44.865093,-93.28874,159900,1.6685E+12,1,1,767,CONDO,FOR_SALE,-1,FALSE,FALSE,157300,1362,{'is_FSBA': True},"$7,000 (Nov 15)",FALSE,FALSE,FOR_SALE,159900,-7000,TRUE,FALSE,FALSE,USD,USA,139000,,,,Apt 310,
1935009,6808 Chicago Ave S,55423,Richfield,MN,44.87955,-93.26332,359500,1.66158E+12,2,4,2197,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,356900,2094,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,359500,-20400,TRUE,FALSE,FALSE,USD,USA,267000,8712,sqft,,,
61626451,7601 Garfield Ave S UNIT 108,55423,Richfield,MN,44.865204,-93.28676,257500,1.66608E+12,2,2,1320,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,253800,1734,{'is_FSBA': True},"$7,500 (Oct 18)",FALSE,FALSE,FOR_SALE,257500,-7500,TRUE,FALSE,FALSE,USD,USA,249000,0.49,acres,,Unit 108,
71815349,7600 Lyndale Ave S APT 200,55423,Richfield,MN,44.865093,-93.28874,164900,1.66902E+12,1,1,758,CONDO,FOR_SALE,-1,FALSE,FALSE,161119,1361,{'is_FSBA': True},"$5,000 (Nov 21)",FALSE,FALSE,FOR_SALE,164900,-5000,TRUE,FALSE,FALSE,USD,USA,157000,2.13,acres,,Apt 200,
1948456,6227 Girard Ave S,55423,Richfield,MN,44.889637,-93.29686,319900,,1,3,1222,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,315600,1998,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,319900,,TRUE,FALSE,FALSE,USD,USA,240000,9583.2,sqft,,,
1941781,6908 Nicollet Ave S,55423,Richfield,MN,44.87772,-93.278595,299000,,1,3,1388,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,294600,1997,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,299000,,TRUE,FALSE,FALSE,USD,USA,248000,9583.2,sqft,,,
1948733,6500 Woodlake Dr APT 508,55423,Richfield,MN,44.883705,-93.28896,120000,,1,1,610,CONDO,FOR_SALE,-1,FALSE,FALSE,115600,1099,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,120000,,TRUE,FALSE,FALSE,USD,USA,85000,1.27,acres,,Apt 508,
2014626,7001 Bloomington Ave S,55423,Richfield,MN,44.87614,-93.252556,289900,,2,3,1610,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,284900,2094,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,289900,,TRUE,FALSE,FALSE,USD,USA,247000,7840.8,sqft,,,
1935194,6727 16th Ave S,55423,Richfield,MN,44.880707,-93.251305,309900,1.66781E+12,2,5,1752,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,304900,2311,{'is_FSBA': True},"$5,000 (Nov 7)",FALSE,FALSE,FOR_SALE,309900,-5000,TRUE,FALSE,FALSE,USD,USA,263000,10018.8,sqft,,,
1941772,6845 Blaisdell Ave S,55423,Richfield,MN,44.87827,-93.279076,345000,,2,4,1464,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,338500,1794,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,345000,,TRUE,FALSE,FALSE,USD,USA,240000,8712,sqft,,,
2008267,7332 Portland Ave S,55423,Richfield,MN,44.86965,-93.26849,319900,1.66841E+12,2,4,1807,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,313000,2094,{'is_FSBA': True},"$10,000 (Nov 14)",FALSE,FALSE,FOR_SALE,319900,-10000,TRUE,FALSE,FALSE,USD,USA,230000,5662.8,sqft,,,
337492187,6369 16th Ave S,55423,Richfield,MN,44.887657,-93.25165,472400,,3,3,1640,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,465148,2199,{'is_newHome': True},,FALSE,FALSE,FOR_SALE,472400,,TRUE,FALSE,FALSE,USD,USA,25300,1306.8,sqft,,,NEW_CONSTRUCTION_TYPE_OTHER
2000197,7632 Bryant Ave S,55423,Richfield,MN,44.86428,-93.291374,327500,1.66755E+12,1,3,2022,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,320000,1995,{'is_FSBA': True},"$2,500 (Nov 4)",FALSE,FALSE,FOR_SALE,327500,-2500,TRUE,FALSE,FALSE,USD,USA,310000,9583.2,sqft,,,
337492186,6367 16th Ave S,55423,Richfield,MN,44.887688,-93.25165,469900,1.66288E+12,3,2,1640,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,462100,2240,{'is_newHome': True},"$9,500 (Sep 11)",FALSE,FALSE,FOR_SALE,469900,-9500,TRUE,FALSE,FALSE,USD,USA,25300,1306.8,sqft,,,NEW_CONSTRUCTION_TYPE_OTHER
1942132,6809 2nd Ave S,55423,Richfield,MN,44.87952,-93.27394,385000,1.66902E+12,2,4,2082,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,375900,2140,{'is_FSBA': True},"$10,000 (Nov 21)",FALSE,FALSE,FOR_SALE,385000,-10000,TRUE,FALSE,FALSE,USD,USA,287000,10018.8,sqft,,,
2008270,7344 Portland Ave S,55423,Richfield,MN,44.869244,-93.2685,379999,1.6634E+12,3,3,2050,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,370800,2496,{'is_FSBA': True},"$20,000 (Sep 17)",FALSE,FALSE,FOR_SALE,379999,-20000,TRUE,FALSE,FALSE,USD,USA,145000,5662.8,sqft,,,
1935060,6934 11th Ave S,55423,Richfield,MN,44.876804,-93.259575,319000,,1,3,1194,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,224300,1394,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,319000,,TRUE,FALSE,FALSE,USD,USA,195000,7840.8,sqft,,,
1948770,6500 Woodlake Dr APT 805,55423,Richfield,MN,44.883705,-93.28896,117000,1.66685E+12,1,1,843,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$2,000 (Oct 27)",FALSE,FALSE,FOR_SALE,117000,-2000,TRUE,FALSE,FALSE,USD,USA,114000,1.27,acres,,Apt 805,
1934432,6501 14th Ave S,55423,Richfield,MN,44.885155,-93.25509,169900,1.66789E+12,2,3,1000,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$10,000 (Nov 8)",FALSE,FALSE,FOR_SALE,169900,-10000,TRUE,FALSE,FALSE,USD,USA,208000,6969.6,sqft,,,
67877443,6640 Lyndale Ave S APT 401,55423,Richfield,MN,44.882362,-93.28753,224900,1.66737E+12,2,2,1080,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},$100 (Nov 2),FALSE,FALSE,FOR_SALE,224900,-100,TRUE,FALSE,FALSE,USD,USA,219000,4.08,acres,,Apt 401,
67877450,6640 Lyndale Ave S APT 408,55423,Richfield,MN,44.882362,-93.28753,235000,1.66625E+12,2,2,1184,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$25,000 (Oct 20)",FALSE,FALSE,FOR_SALE,235000,-25000,TRUE,FALSE,FALSE,USD,USA,243000,4.08,acres,,Apt 408,
1935498,6827 18th Ave S,55423,Richfield,MN,44.878906,-93.2488,275000,1.66634E+12,1,3,1684,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$20,000 (Oct 21)",FALSE,FALSE,FOR_SALE,275000,-20000,TRUE,FALSE,FALSE,USD,USA,265000,9147.6,sqft,,,
2008956,7626 Nicollet Ave S,55423,Richfield,MN,44.864376,-93.278694,299900,1.66755E+12,2,3,1426,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$25,100 (Nov 4)",FALSE,FALSE,FOR_SALE,299900,-25100,TRUE,FALSE,FALSE,USD,USA,230000,10454.4,sqft,,,
2015805,7626 12th Ave S,55423,Richfield,MN,44.864517,-93.25838,320000,,2,3,1748,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,320000,,TRUE,FALSE,FALSE,USD,USA,275000,10018.8,sqft,,,
2015200,7100 Columbus Ave S,55423,Richfield,MN,44.874325,-93.26461,329000,1.66755E+12,2,4,1810,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$6,000 (Nov 4)",FALSE,FALSE,FOR_SALE,329000,-6000,TRUE,FALSE,FALSE,USD,USA,283000,9583.2,sqft,,,
2000204,7632 Aldrich Ave S,55423,Richfield,MN,44.864292,-93.29014,340000,,2,4,2166,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,340000,,TRUE,FALSE,FALSE,USD,USA,270000,9583.2,sqft,,,
1949748,6920 Logan Ave S,55423,Richfield,MN,44.877274,-93.30388,345000,1.66763E+12,3,4,2706,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$15,000 (Nov 5)",FALSE,FALSE,FOR_SALE,345000,-15000,TRUE,FALSE,FALSE,USD,USA,337000,6534,sqft,,,
2008264,7320 Portland Ave S,55423,Richfield,MN,44.870064,-93.26849,349900,,2,4,1714,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,349900,,TRUE,FALSE,FALSE,USD,USA,218000,6098.4,sqft,,,
1942045,6620 3rd Ave S,55423,Richfield,MN,44.88254,-93.27339,367900,1.66945E+12,2,4,1732,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$2,000 (Nov 26)",FALSE,FALSE,FOR_SALE,367900,-2000,TRUE,FALSE,FALSE,USD,USA,223000,9583.2,sqft,,,
1949237,6405 Newton Ave S,55423,Richfield,MN,44.886787,-93.305725,380000,1.66859E+12,2,4,2202,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$20,000 (Nov 16)",FALSE,FALSE,FOR_SALE,380000,-20000,TRUE,FALSE,FALSE,USD,USA,342000,8276.4,sqft,,,
1987471,7215 Russell Ave S,55423,Richfield,MN,44.872135,-93.31078,389900,,2,3,1930,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,389900,,TRUE,FALSE,FALSE,USD,USA,229000,10018.8,sqft,,,
1949877,6946 Irving Ave S,55423,Richfield,MN,44.87646,-93.30006,449900,1.66443E+12,2,5,3214,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},"$50,000 (Sep 29)",FALSE,FALSE,FOR_SALE,449900,-50000,TRUE,FALSE,FALSE,USD,USA,419000,8712,sqft,,,
